cellIndex,x,y,z,vol,P,S,material
187,0.207507629,0.0,4.5,0.054572558,10.5,1.0,4
188,0.25405879,0.0,4.5,0.081804015,10.5,1.0,4
189,0.31105299,0.0,4.5,0.122623845,10.5,1.0,4
190,0.380832967,0.0,4.5,0.183812585,10.5,1.0,4
191,0.466267014,0.0,4.5,0.275534226,10.5,1.0,4
192,0.570866881,0.0,4.5,0.413024548,10.5,1.0,4
193,0.698932127,0.0,4.5,0.619121914,10.5,1.0,4
194,0.855726851,0.0,4.5,0.928060926,10.5,1.0,4
195,1.047696071,0.0,4.5,1.391159096,10.5,1.0,4
196,1.282730647,0.0,4.5,2.08534114,10.5,1.0,4
197,1.570491632,0.0,4.5,3.125916859,10.5,1.0,4
198,1.922807389,0.0,4.5,4.685735115,10.5,1.0,4
199,2.354159794,0.0,4.5,7.023895569,10.5,1.0,4
200,2.882279507,0.0,4.5,10.52878742,10.5,1.0,4
201,3.528874795,0.0,4.5,15.78260433,10.5,1.0,4
202,4.320523837,0.0,4.5,23.65805192,10.5,1.0,4
203,5.289767224,0.0,4.5,35.46331193,10.5,1.0,4
204,6.476445528,0.0,4.5,53.15934285,10.5,1.0,4
205,7.929336944,0.0,4.5,79.6856125,10.5,1.0,4
206,9.70816231,0.0,4.5,119.4483697,10.5,1.0,4
207,11.88603992,0.0,4.5,179.0525615,10.5,1.0,4
208,14.55249103,0.0,4.5,268.3989731,10.5,1.0,4
209,17.81711963,0.0,4.5,402.3288366,10.5,1.0,4
210,21.81411768,0.0,4.5,603.0890912,10.5,1.0,4
211,26.70778107,0.0,4.5,904.0277973,10.5,1.0,4
212,32.69926292,0.0,4.5,1355.133545,10.5,1.0,4
213,40.03484202,0.0,4.5,2031.339004,10.5,1.0,4
214,49.016046,0.0,4.5,3044.967903,10.5,1.0,4
215,60.01204561,0.0,4.5,4564.393,10.5,1.0,4
216,73.47482941,0.0,4.5,6842.004292,10.5,1.0,4
217,89.95778268,0.0,4.5,10256.13323,10.5,1.0,4
218,110.1384342,0.0,4.5,15373.89694,10.5,1.0,4
219,134.846306,0.0,4.5,23045.4014,10.5,1.0,4
220,165.0970106,0.0,4.5,34544.95159,10.5,1.0,4
221,202.1339977,0.0,4.5,51782.7249,10.5,1.0,4
222,247.4796659,0.0,4.5,77622.06846,10.5,1.0,4
223,302.9979407,0.0,4.5,116355.1266,10.5,1.0,4
224,370.9708906,0.0,4.5,174415.8042,10.5,1.0,4
225,454.1925313,0.0,4.5,261448.495,10.5,1.0,4
226,0.057038782,0.0,5.5,0.004473552,9.5,1.0,2
227,0.071054976,0.0,5.5,0.006942262,9.5,1.0,2
228,0.088515382,0.0,5.5,0.010773318,9.5,1.0,2
229,0.11026635,0.0,5.5,0.016718526,9.5,1.0,2
230,0.137362204,0.0,5.5,0.02594457,9.5,1.0,2
231,0.169486032,0.0,5.5,0.036406086,9.5,1.0,5
232,0.207507629,0.0,5.5,0.054572558,9.5,1.0,5
233,0.25405879,0.0,5.5,0.081804015,9.5,1.0,5
234,0.31105299,0.0,5.5,0.122623845,9.5,1.0,5
235,0.380832967,0.0,5.5,0.183812585,9.5,1.0,5
236,0.466267014,0.0,5.5,0.275534226,9.5,1.0,5
237,0.570866881,0.0,5.5,0.413024548,9.5,1.0,5
238,0.698932127,0.0,5.5,0.619121914,9.5,1.0,5
239,0.855726851,0.0,5.5,0.928060926,9.5,1.0,5
240,1.047696071,0.0,5.5,1.391159096,9.5,1.0,5
241,1.282730647,0.0,5.5,2.08534114,9.5,1.0,5
242,1.570491632,0.0,5.5,3.125916859,9.5,1.0,5
243,1.922807389,0.0,5.5,4.685735115,9.5,1.0,5
244,2.354159794,0.0,5.5,7.023895569,9.5,1.0,5
245,2.882279507,0.0,5.5,10.52878742,9.5,1.0,5
246,3.528874795,0.0,5.5,15.78260433,9.5,1.0,5
247,4.320523837,0.0,5.5,23.65805192,9.5,1.0,5
248,5.289767224,0.0,5.5,35.46331193,9.5,1.0,5
249,6.476445528,0.0,5.5,53.15934285,9.5,1.0,5
250,7.929336944,0.0,5.5,79.6856125,9.5,1.0,5
251,9.70816231,0.0,5.5,119.4483697,9.5,1.0,5
252,11.88603992,0.0,5.5,179.0525615,9.5,1.0,5
253,14.55249103,0.0,5.5,268.3989731,9.5,1.0,5
254,17.81711963,0.0,5.5,402.3288366,9.5,1.0,5
255,21.81411768,0.0,5.5,603.0890912,9.5,1.0,5
256,26.70778107,0.0,5.5,904.0277973,9.5,1.0,5
257,32.69926292,0.0,5.5,1355.133545,9.5,1.0,5
258,40.03484202,0.0,5.5,2031.339004,9.5,1.0,5
259,49.016046,0.0,5.5,3044.967903,9.5,1.0,5
260,60.01204561,0.0,5.5,4564.393,9.5,1.0,5
261,73.47482941,0.0,5.5,6842.004292,9.5,1.0,5
262,89.95778268,0.0,5.5,10256.13323,9.5,1.0,5
263,110.1384342,0.0,5.5,15373.89694,9.5,1.0,5
264,134.846306,0.0,5.5,23045.4014,9.5,1.0,5
265,165.0970106,0.0,5.5,34544.95159,9.5,1.0,5
266,202.1339977,0.0,5.5,51782.7249,9.5,1.0,5
267,247.4796659,0.0,5.5,77622.06846,9.5,1.0,5
268,302.9979407,0.0,5.5,116355.1266,9.5,1.0,5
269,370.9708906,0.0,5.5,174415.8042,9.5,1.0,5
270,454.1925313,0.0,5.5,261448.495,9.5,1.0,5
271,0.057038782,0.0,6.5,0.004473552,8.5,1.0,2
272,0.071054976,0.0,6.5,0.006942262,8.5,1.0,2
273,0.088515382,0.0,6.5,0.010773318,8.5,1.0,2
274,0.11026635,0.0,6.5,0.016718526,8.5,1.0,2
275,0.137362204,0.0,6.5,0.02594457,8.5,1.0,2
276,0.169486032,0.0,6.5,0.036406086,8.5,1.0,5
277,0.207507629,0.0,6.5,0.054572558,8.5,1.0,5
278,0.25405879,0.0,6.5,0.081804015,8.5,1.0,5
279,0.31105299,0.0,6.5,0.122623845,8.5,1.0,5
280,0.380832967,0.0,6.5,0.183812585,8.5,1.0,5
281,0.466267014,0.0,6.5,0.275534226,8.5,1.0,5
282,0.570866881,0.0,6.5,0.413024548,8.5,1.0,5
283,0.698932127,0.0,6.5,0.619121914,8.5,1.0,5
284,0.855726851,0.0,6.5,0.928060926,8.5,1.0,5
285,1.047696071,0.0,6.5,1.391159096,8.5,1.0,5
286,1.282730647,0.0,6.5,2.08534114,8.5,1.0,5
287,1.570491632,0.0,6.5,3.125916859,8.5,1.0,5
288,1.922807389,0.0,6.5,4.685735115,8.5,1.0,5
289,2.354159794,0.0,6.5,7.023895569,8.5,1.0,5
290,2.882279507,0.0,6.5,10.52878742,8.5,1.0,5
291,3.528874795,0.0,6.5,15.78260433,8.5,1.0,5
292,4.320523837,0.0,6.5,23.65805192,8.5,1.0,5
293,5.289767224,0.0,6.5,35.46331193,8.5,1.0,5
294,6.476445528,0.0,6.5,53.15934285,8.5,1.0,5
