x,y,z,vx,vy,vz
32.69926292,0.0,3.5,-0.05594090252718499,0.0,-0.0026526611558973455
40.03484202,0.0,3.5,-0.04113564113319047,0.0,-0.0016495411546905273
49.016046,0.0,3.5,-0.029869153101157765,0.0,-0.0010491063723134715
60.01204561,0.0,3.5,-0.021202047614523864,0.0,-0.0007087298867650045
73.47482941,0.0,3.5,-0.014444672889374946,0.0,-0.0005070159092719862
89.95778268,0.0,3.5,-0.009185615246123038,0.0,-0.00036275100729417435
110.1384342,0.0,3.5,-0.005248123969704471,0.0,-0.00023893612333032363
134.846306,0.0,3.5,-0.0025648910001970005,0.0,-0.00013296622129185448
165.0970106,0.0,3.5,-0.0010103479061255622,0.0,-5.7284422490133816e-5
202.1339977,0.0,3.5,-0.0003002032990619873,0.0,-1.7532234612549956e-5
247.4796659,0.0,3.5,-6.30091817810309e-5,0.0,-3.5493156870460323e-6
302.9979407,0.0,3.5,-8.839850865293385e-6,0.0,-4.536262469429736e-7
370.9708906,0.0,3.5,-7.977640044399312e-7,0.0,-3.575054918590885e-8
454.1925313,0.0,3.5,-3.246348204548402e-8,0.0,-1.6402168018353034e-9
0.057038782,0.0,4.5,-51.774942199573715,0.0,61.37557476286233
0.071054976,0.0,4.5,-45.04908611732082,0.0,0.4560656951019512
0.088515382,0.0,4.5,-36.18083047421545,0.0,0.7460057845689416
0.11026635,0.0,4.5,-29.07838937931877,0.0,1.0362458744891196
0.137362204,0.0,4.5,-23.33557736012717,0.0,1.3271080861160656
0.169486032,0.0,4.5,-18.91005655697921,0.0,0.27553392436727264
0.207507629,0.0,4.5,-15.48623246435922,0.0,0.2436193139566376
0.25405879,0.0,4.5,-12.664514314693564,0.0,0.2121346183540205
0.31105299,0.0,4.5,-10.361558912187522,0.0,0.18123313991912285
0.380832967,0.0,4.5,-8.479855491977231,0.0,0.15107585620477684
0.466267014,0.0,4.5,-6.942565045664368,0.0,0.12186964198445266
0.570866881,0.0,4.5,-5.685917468042209,0.0,0.09386387234003311
0.698932127,0.0,4.5,-4.657715636199336,0.0,0.06734938682413316
0.855726851,0.0,4.5,-3.8154609883133634,0.0,0.042662234631373155
1.047696071,0.0,4.5,-3.1244591783012052,0.0,0.020178866366086234
1.282730647,0.0,4.5,-2.556540414205312,0.0,0.00030465487138969604
1.570491632,0.0,4.5,-2.088933957760316,0.0,-0.01655173772963904
1.922807389,0.0,4.5,-1.7033377711657838,0.0,-0.030023802762968153
2.354159794,0.0,4.5,-1.3851052550373972,0.0,-0.03985170564063357
2.882279507,0.0,4.5,-1.1225211882835473,0.0,-0.04595525780185087
3.528874795,0.0,4.5,-0.9061565695012191,0.0,-0.04849063043497844
4.320523837,0.0,4.5,-0.7283163519505359,0.0,-0.047867151638285595
5.289767224,0.0,4.5,-0.582603626753913,0.0,-0.044711689965021735
6.476445528,0.0,4.5,-0.4636120102470013,0.0,-0.03978624469860007
7.929336944,0.0,4.5,-0.36673930662223264,0.0,-0.03387600049121712
9.70816231,0.0,4.5,-0.28809633022082803,0.0,-0.02767804161755576
11.88603992,0.0,4.5,-0.2244657601890467,0.0,-0.021725685452115374
14.55249103,0.0,4.5,-0.1732492248341037,0.0,-0.01637087497982451
17.81711963,0.0,4.5,-0.13236481811836426,0.0,-0.011812985547767534
21.81411768,0.0,4.5,-0.1001046463428776,0.0,-0.00813994252995293
26.70778107,0.0,4.5,-0.07499667610706426,0.0,-0.005355220210219933
32.69926292,0.0,4.5,-0.0557094799028661,0.0,-0.0033893539646867414
40.03484202,0.0,4.5,-0.0410156352761899,0.0,-0.002110212559532485
49.016046,0.0,4.5,-0.029811356407951944,0.0,-0.001344226652732615
60.01204561,0.0,4.5,-0.0211749396511148,0.0,-0.0009095416097841646
73.47482941,0.0,4.5,-0.014430770380990138,0.0,-0.0006513890093567826
89.95778268,0.0,4.5,-0.009176961789795152,0.0,-0.0004662740971309002
110.1384342,0.0,4.5,-0.005242061484792411,0.0,-0.00030715105646701436
134.846306,0.0,4.5,-0.0025609076683839028,0.0,-0.0001709067411523075
165.0970106,0.0,4.5,-0.0010082228006395016,0.0,-7.361333693703155e-5
