cellIndex	x	y	z	vol	b	h0	material	xNum	yNum	zNum	xInc	yInc	zInc	xStep	yStep	zStep
142	22.04903811	0.05	50.72947342	1	1	0	42	1	1	1	0	0	0	1	1	1
143	22.54903811	0.05	49.86344802	1	1	0	28	1	1	1	0	0	0	1	1	1
144	23.04903811	0.05	48.99742261	1	1	0	28	1	1	1	0	0	0	1	1	1
145	23.54903811	0.05	48.13139721	1	1	0	61	1	1	1	0	0	0	1	1	1
146	24.04903811	0.05	47.2653718	1	1	0	61	1	1	1	0	0	0	1	1	1
147	24.54903811	0.05	46.3993464	1	1	0	79	1	1	1	0	0	0	1	1	1
148	25.04903811	0.05	45.533321	1	1	0	42	1	1	1	0	0	0	1	1	1
149	25.54903811	0.05	44.66729559	1	1	0	75	1	1	1	0	0	0	1	1	1
150	26.04903811	0.05	43.80127019	1	1	0	75	1	1	1	0	0	0	1	1	1
151	26.54903811	0.05	42.93524479	1	1	0	56	1	1	1	0	0	0	1	1	1
152	27.04903811	0.05	42.06921938	1	1	0	56	1	1	1	0	0	0	1	1	1
153	27.54903811	0.05	41.20319398	1	1	0	63	1	1	1	0	0	0	1	1	1
154	28.04903811	0.05	40.33716857	1	1	0	27	1	1	1	0	0	0	1	1	1
155	28.54903811	0.05	39.47114317	1	1	0	64	1	1	1	0	0	0	1	1	1
156	29.04903811	0.05	38.60511777	1	1	0	27	1	1	1	0	0	0	1	1	1
157	29.54903811	0.05	37.73909236	1	1	0	27	1	1	1	0	0	0	1	1	1
158	30.04903811	0.05	36.87306696	1	1	0	35	1	1	1	0	0	0	1	1	1
159	30.54903811	0.05	36.00704156	1	1	0	35	1	1	1	0	0	0	1	1	1
160	31.04903811	0.05	35.14101615	1	1	0	35	1	1	1	0	0	0	1	1	1
161	31.54903811	0.05	34.27499075	1	1	0	32	1	1	1	0	0	0	1	1	1
162	32.04903811	0.05	33.40896534	1	1	0	12	1	1	1	0	0	0	1	1	1
163	32.54903811	0.05	32.54293994	1	1	0	17	1	1	1	0	0	0	1	1	1
164	33.04903811	0.05	31.67691454	1	1	0	17	1	1	1	0	0	0	1	1	1
165	33.54903811	0.05	30.81088913	1	1	0	17	1	1	1	0	0	0	1	1	1
166	34.04903811	0.05	29.94486373	1	1	0	28	1	1	1	0	0	0	1	1	1
167	34.54903811	0.05	29.07883832	1	1	0	28	1	1	1	0	0	0	1	1	1
168	35.04903811	0.05	28.21281292	1	1	0	11	1	1	1	0	0	0	1	1	1
169	35.54903811	0.05	27.34678752	1	1	0	18	1	1	1	0	0	0	1	1	1
170	36.04903811	0.05	26.48076211	1	1	0	16	1	1	1	0	0	0	1	1	1
171	36.54903811	0.05	25.61473671	1	1	0	16	1	1	1	0	0	0	1	1	1
172	37.04903811	0.05	24.74871131	1	1	0	16	1	1	1	0	0	0	1	1	1
173	37.54903811	0.05	23.8826859	1	1	0	2	1	1	1	0	0	0	1	1	1
174	38.04903811	0.05	23.0166605	1	1	0	2	1	1	1	0	0	0	1	1	1
175	38.54903811	0.05	22.15063509	1	1	0	14	1	1	1	0	0	0	1	1	1
176	39.04903811	0.05	21.28460969	1	1	0	60	1	1	1	0	0	0	1	1	1
177	39.54903811	0.05	20.41858429	1	1	0	60	1	1	1	0	0	0	1	1	1
178	40.04903811	0.05	19.55255888	1	1	0	14	1	1	1	0	0	0	1	1	1
179	40.54903811	0.05	18.68653348	1	1	0	14	1	1	1	0	0	0	1	1	1
180	41.04903811	0.05	17.82050808	1	1	0	57	1	1	1	0	0	0	1	1	1
181	41.54903811	0.05	16.95448267	1	1	0	46	1	1	1	0	0	0	1	1	1
182	42.04903811	0.05	16.08845727	1	1	0	45	1	1	1	0	0	0	1	1	1
183	42.54903811	0.05	15.22243186	1	1	0	45	1	1	1	0	0	0	1	1	1
184	43.04903811	0.05	14.35640646	1	1	0	80	1	1	1	0	0	0	1	1	1
185	43.54903811	0.05	13.49038106	1	1	0	76	1	1	1	0	0	0	1	1	1
186	44.04903811	0.05	12.62435565	1	1	0	76	1	1	1	0	0	0	1	1	1
187	44.54903811	0.05	11.75833025	1	1	0	76	1	1	1	0	0	0	1	1	1
188	45.04903811	0.05	10.89230485	1	1	0	84	1	1	1	0	0	0	1	1	1
189	45.54903811	0.05	10.02627944	1	1	0	84	1	1	1	0	0	0	1	1	1
190	46.04903811	0.05	9.160254038	1	1	0	86	1	1	1	0	0	0	1	1	1
191	46.54903811	0.05	8.294228634	1	1	0	86	1	1	1	0	0	0	1	1	1
192	47.04903811	0.05	7.42820323	1	1	0	67	1	1	1	0	0	0	1	1	1
193	47.54903811	0.05	6.562177826	1	1	0	67	1	1	1	0	0	0	1	1	1
194	48.04903811	0.05	5.696152423	1	1	0	59	1	1	1	0	0	0	1	1	1
195	48.54903811	0.05	4.830127019	1	1	0	59	1	1	1	0	0	0	1	1	1
196	49.04903811	0.05	3.964101615	1	1	0	51	1	1	1	0	0	0	1	1	1
197	49.54903811	0.05	3.098076211	1	1	0	51	1	1	1	0	0	0	1	1	1
198	50.04903811	0.05	2.232050808	1	1	0	70	1	1	1	0	0	0	1	1	1
199	50.54903811	0.05	1.366025404	1	1	0	57	1	1	1	0	0	0	1	1	1
200	51.04903811	0.05	0.5	1	1	0	57	1	1	1	0	0	0	1	1	1
201	2.415063509	0.05	86.73651497	1	1	0	14	1	1	1	0	0	0	1	1	1
202	2.915063509	0.05	85.87048957	1	1	0	42	1	1	1	0	0	0	1	1	1
203	3.415063509	0.05	85.00446417	1	1	0	54	1	1	1	0	0	0	1	1	1
204	3.915063509	0.05	84.13843876	1	1	0	54	1	1	1	0	0	0	1	1	1
205	4.415063509	0.05	83.27241336	1	1	0	37	1	1	1	0	0	0	1	1	1
206	4.915063509	0.05	82.40638796	1	1	0	20	1	1	1	0	0	0	1	1	1
207	5.415063509	0.05	81.54036255	1	1	0	19	1	1	1	0	0	0	1	1	1
208	5.915063509	0.05	80.67433715	1	1	0	40	1	1	1	0	0	0	1	1	1
209	6.415063509	0.05	79.80831174	1	1	0	41	1	1	1	0	0	0	1	1	1
210	6.915063509	0.05	78.94228634	1	1	0	41	1	1	1	0	0	0	1	1	1
211	7.415063509	0.05	78.07626094	1	1	0	41	1	1	1	0	0	0	1	1	1
212	7.915063509	0.05	77.21023553	1	1	0	81	1	1	1	0	0	0	1	1	1
213	8.415063509	0.05	76.34421013	1	1	0	81	1	1	1	0	0	0	1	1	1
214	8.915063509	0.05	75.47818473	1	1	0	44	1	1	1	0	0	0	1	1	1
215	9.415063509	0.05	74.61215932	1	1	0	44	1	1	1	0	0	0	1	1	1
216	9.915063509	0.05	73.74613392	1	1	0	44	1	1	1	0	0	0	1	1	1
217	10.41506351	0.05	72.88010851	1	1	0	75	1	1	1	0	0	0	1	1	1
218	10.91506351	0.05	72.01408311	1	1	0	75	1	1	1	0	0	0	1	1	1
219	11.41506351	0.05	71.14805771	1	1	0	76	1	1	1	0	0	0	1	1	1
220	11.91506351	0.05	70.2820323	1	1	0	76	1	1	1	0	0	0	1	1	1
221	12.41506351	0.05	69.4160069	1	1	0	82	1	1	1	0	0	0	1	1	1
222	12.91506351	0.05	68.5499815	1	1	0	82	1	1	1	0	0	0	1	1	1
223	13.41506351	0.05	67.68395609	1	1	0	82	1	1	1	0	0	0	1	1	1
224	13.91506351	0.05	66.81793069	1	1	0	91	1	1	1	0	0	0	1	1	1
225	14.41506351	0.05	65.95190528	1	1	0	91	1	1	1	0	0	0	1	1	1
226	14.91506351	0.05	65.08587988	1	1	0	85	1	1	1	0	0	0	1	1	1
227	15.41506351	0.05	64.21985448	1	1	0	90	1	1	1	0	0	0	1	1	1
228	15.91506351	0.05	63.35382907	1	1	0	90	1	1	1	0	0	0	1	1	1
229	16.41506351	0.05	62.48780367	1	1	0	85	1	1	1	0	0	0	1	1	1
230	16.91506351	0.05	61.62177826	1	1	0	85	1	1	1	0	0	0	1	1	1
231	17.41506351	0.05	60.75575286	1	1	0	85	1	1	1	0	0	0	1	1	1
232	17.91506351	0.05	59.88972746	1	1	0	91	1	1	1	0	0	0	1	1	1
233	18.41506351	0.05	59.02370205	1	1	0	62	1	1	1	0	0	0	1	1	1
234	18.91506351	0.05	58.15767665	1	1	0	15	1	1	1	0	0	0	1	1	1
235	19.41506351	0.05	57.29165125	1	1	0	15	1	1	1	0	0	0	1	1	1
236	19.91506351	0.05	56.42562584	1	1	0	57	1	1	1	0	0	0	1	1	1
237	20.41506351	0.05	55.55960044	1	1	0	20	1	1	1	0	0	0	1	1	1
238	20.91506351	0.05	54.69357503	1	1	0	20	1	1	1	0	0	0	1	1	1
239	21.41506351	0.05	53.82754963	1	1	0	10	1	1	1	0	0	0	1	1	1
240	21.91506351	0.05	52.96152423	1	1	0	10	1	1	1	0	0	0	1	1	1
241	22.41506351	0.05	52.09549882	1	1	0	57	1	1	1	0	0	0	1	1	1
242	22.91506351	0.05	51.22947342	1	1	0	57	1	1	1	0	0	0	1	1	1
243	23.41506351	0.05	50.36344802	1	1	0	37	1	1	1	0	0	0	1	1	1
244	23.91506351	0.05	49.49742261	1	1	0	37	1	1	1	0	0	0	1	1	1
245	24.41506351	0.05	48.63139721	1	1	0	26	1	1	1	0	0	0	1	1	1
246	24.91506351	0.05	47.7653718	1	1	0	14	1	1	1	0	0	0	1	1	1
247	25.41506351	0.05	46.8993464	1	1	0	32	1	1	1	0	0	0	1	1	1
248	25.91506351	0.05	46.033321	1	1	0	32	1	1	1	0	0	0	1	1	1
249	26.41506351	0.05	45.16729559	1	1	0	32	1	1	1	0	0	0	1	1	1
250	26.91506351	0.05	44.30127019	1	1	0	32	1	1	1	0	0	0	1	1	1
251	27.41506351	0.05	43.43524479	1	1	0	32	1	1	1	0	0	0	1	1	1
252	27.91506351	0.05	42.56921938	1	1	0	10	1	1	1	0	0	0	1	1	1
253	28.41506351	0.05	41.70319398	1	1	0	4	1	1	1	0	0	0	1	1	1
254	28.91506351	0.05	40.83716857	1	1	0	4	1	1	1	0	0	0	1	1	1
255	29.41506351	0.05	39.97114317	1	1	0	4	1	1	1	0	0	0	1	1	1
256	29.91506351	0.05	39.10511777	1	1	0	4	1	1	1	0	0	0	1	1	1
257	30.41506351	0.05	38.23909236	1	1	0	4	1	1	1	0	0	0	1	1	1
258	30.91506351	0.05	37.37306696	1	1	0	13	1	1	1	0	0	0	1	1	1
259	31.41506351	0.05	36.50704156	1	1	0	13	1	1	1	0	0	0	1	1	1
260	31.91506351	0.05	35.64101615	1	1	0	13	1	1	1	0	0	0	1	1	1
261	32.41506351	0.05	34.77499075	1	1	0	13	1	1	1	0	0	0	1	1	1
262	32.91506351	0.05	33.90896534	1	1	0	34	1	1	1	0	0	0	1	1	1
263	33.41506351	0.05	33.04293994	1	1	0	34	1	1	1	0	0	0	1	1	1
264	33.91506351	0.05	32.17691454	1	1	0	18	1	1	1	0	0	0	1	1	1
265	34.41506351	0.05	31.31088913	1	1	0	15	1	1	1	0	0	0	1	1	1
266	34.91506351	0.05	30.44486373	1	1	0	32	1	1	1	0	0	0	1	1	1
267	35.41506351	0.05	29.57883832	1	1	0	32	1	1	1	0	0	0	1	1	1
268	35.91506351	0.05	28.71281292	1	1	0	32	1	1	1	0	0	0	1	1	1
269	36.41506351	0.05	27.84678752	1	1	0	37	1	1	1	0	0	0	1	1	1
270	36.91506351	0.05	26.98076211	1	1	0	37	1	1	1	0	0	0	1	1	1
271	37.41506351	0.05	26.11473671	1	1	0	30	1	1	1	0	0	0	1	1	1
272	37.91506351	0.05	25.24871131	1	1	0	32	1	1	1	0	0	0	1	1	1
273	38.41506351	0.05	24.3826859	1	1	0	18	1	1	1	0	0	0	1	1	1
274	38.91506351	0.05	23.5166605	1	1	0	22	1	1	1	0	0	0	1	1	1
275	39.41506351	0.05	22.65063509	1	1	0	22	1	1	1	0	0	0	1	1	1
276	39.91506351	0.05	21.78460969	1	1	0	41	1	1	1	0	0	0	1	1	1
277	40.41506351	0.05	20.91858429	1	1	0	17	1	1	1	0	0	0	1	1	1
278	40.91506351	0.05	20.05255888	1	1	0	9	1	1	1	0	0	0	1	1	1
279	41.41506351	0.05	19.18653348	1	1	0	15	1	1	1	0	0	0	1	1	1
280	41.91506351	0.05	18.32050808	1	1	0	23	1	1	1	0	0	0	1	1	1
281	42.41506351	0.05	17.45448267	1	1	0	30	1	1	1	0	0	0	1	1	1
282	42.91506351	0.05	16.58845727	1	1	0	48	1	1	1	0	0	0	1	1	1
283	43.41506351	0.05	15.72243186	1	1	0	50	1	1	1	0	0	0	1	1	1
284	43.91506351	0.05	14.85640646	1	1	0	50	1	1	1	0	0	0	1	1	1
285	44.41506351	0.05	13.99038106	1	1	0	55	1	1	1	0	0	0	1	1	1
286	44.91506351	0.05	13.12435565	1	1	0	55	1	1	1	0	0	0	1	1	1
287	45.41506351	0.05	12.25833025	1	1	0	55	1	1	1	0	0	0	1	1	1
288	45.91506351	0.05	11.39230485	1	1	0	12	1	1	1	0	0	0	1	1	1
289	46.41506351	0.05	10.52627944	1	1	0	12	1	1	1	0	0	0	1	1	1
290	46.91506351	0.05	9.660254038	1	1	0	46	1	1	1	0	0	0	1	1	1
291	47.41506351	0.05	8.794228634	1	1	0	70	1	1	1	0	0	0	1	1	1
292	47.91506351	0.05	7.92820323	1	1	0	68	1	1	1	0	0	0	1	1	1
293	48.41506351	0.05	7.062177826	1	1	0	68	1	1	1	0	0	0	1	1	1
294	48.91506351	0.05	6.196152423	1	1	0	68	1	1	1	0	0	0	1	1	1
295	49.41506351	0.05	5.330127019	1	1	0	62	1	1	1	0	0	0	1	1	1
296	49.91506351	0.05	4.464101615	1	1	0	62	1	1	1	0	0	0	1	1	1
297	50.41506351	0.05	3.598076211	1	1	0	62	1	1	1	0	0	0	1	1	1
298	50.91506351	0.05	2.732050808	1	1	0	62	1	1	1	0	0	0	1	1	1
299	51.41506351	0.05	1.866025404	1	1	0	29	1	1	1	0	0	0	1	1	1
300	51.91506351	0.05	1	1	1	0	29	1	1	1	0	0	0	1	1	1
301	3.281088913	0.05	87.23651497	1	1	0	47	1	1	1	0	0	0	1	1	1
302	3.781088913	0.05	86.37048957	1	1	0	9	1	1	1	0	0	0	1	1	1
303	4.281088913	0.05	85.50446417	1	1	0	14	1	1	1	0	0	0	1	1	1
304	4.781088913	0.05	84.63843876	1	1	0	14	1	1	1	0	0	0	1	1	1
305	5.281088913	0.05	83.77241336	1	1	0	5	1	1	1	0	0	0	1	1	1
306	5.781088913	0.05	82.90638796	1	1	0	3	1	1	1	0	0	0	1	1	1
307	6.281088913	0.05	82.04036255	1	1	0	10	1	1	1	0	0	0	1	1	1
308	6.781088913	0.05	81.17433715	1	1	0	10	1	1	1	0	0	0	1	1	1
309	7.281088913	0.05	80.30831174	1	1	0	16	1	1	1	0	0	0	1	1	1
310	7.781088913	0.05	79.44228634	1	1	0	16	1	1	1	0	0	0	1	1	1
311	8.281088913	0.05	78.57626094	1	1	0	45	1	1	1	0	0	0	1	1	1
312	8.781088913	0.05	77.71023553	1	1	0	45	1	1	1	0	0	0	1	1	1
313	9.281088913	0.05	76.84421013	1	1	0	42	1	1	1	0	0	0	1	1	1
314	9.781088913	0.05	75.97818473	1	1	0	45	1	1	1	0	0	0	1	1	1
