cellIndex,x,y,z,vol,P,S,material
237,0.570866881,0.0,5.5,0.413024548,7.817455879598077,1.0,5
238,0.698932127,0.0,5.5,0.619121914,7.924110584994472,1.0,5
239,0.855726851,0.0,5.5,0.928060926,8.027838420990644,1.0,5
240,1.047696071,0.0,5.5,1.391159096,8.128277210969646,1.0,5
241,1.282730647,0.0,5.5,2.08534114,8.225120605922829,1.0,5
242,1.570491632,0.0,5.5,3.125916859,8.318142977821978,1.0,5
243,1.922807389,0.0,5.5,4.685735115,8.407219997415323,1.0,5
244,2.354159794,0.0,5.5,7.023895569,8.492341165970975,1.0,5
245,2.882279507,0.0,5.5,10.52878742,8.573611620913159,1.0,5
246,3.528874795,0.0,5.5,15.78260433,8.65123750839899,1.0,5
247,4.320523837,0.0,5.5,23.65805192,8.725495314321217,1.0,5
248,5.289767224,0.0,5.5,35.46331193,8.796688680208431,1.0,5
249,6.476445528,0.0,5.5,53.15934285,8.865096286143448,1.0,5
250,7.929336944,0.0,5.5,79.6856125,8.930912776010219,1.0,5
251,9.70816231,0.0,5.5,119.4483697,8.99419479843857,1.0,5
252,11.88603992,0.0,5.5,179.0525615,9.054837704378002,1.0,5
253,14.55249103,0.0,5.5,268.3989731,9.112602593643514,1.0,5
254,17.81711963,0.0,5.5,402.3288366,9.167186465146546,1.0,5
255,21.81411768,0.0,5.5,603.0890912,9.218305177889688,1.0,5
256,26.70778107,0.0,5.5,904.0277973,9.265755904929724,1.0,5
257,32.69926292,0.0,5.5,1355.133545,9.309435139233301,1.0,5
258,40.03484202,0.0,5.5,2031.339004,9.349298367825984,1.0,5
259,49.016046,0.0,5.5,3044.967903,9.385262089709524,1.0,5
260,60.01204561,0.0,5.5,4564.393,9.417078435141747,1.0,5
261,73.47482941,0.0,5.5,6842.004292,9.444254048345833,1.0,5
262,89.95778268,0.0,5.5,10256.13323,9.466113887122754,1.0,5
263,110.1384342,0.0,5.5,15373.89694,9.482088419090132,1.0,5
264,134.846306,0.0,5.5,23045.4014,9.492183749733078,1.0,5
265,165.0970106,0.0,5.5,34544.95159,9.497358829148787,1.0,5
266,202.1339977,0.0,5.5,51782.7249,9.499354937642726,1.0,5
267,247.4796659,0.0,5.5,77622.06846,9.499892895155979,1.0,5
268,302.9979407,0.0,5.5,116355.1266,9.499988433029156,1.0,5
269,370.9708906,0.0,5.5,174415.8042,9.499999208445752,1.0,5
270,454.1925313,0.0,5.5,261448.495,9.49999996767024,1.0,5
271,0.057038782,0.0,6.5,0.004473552,6.009801440438014,1.0,2
272,0.071054976,0.0,6.5,0.006942262,6.0232963172249105,1.0,2
273,0.088515382,0.0,6.5,0.010773318,6.036777896298225,1.0,2
274,0.11026635,0.0,6.5,0.016718526,6.0502629103273335,1.0,2
275,0.137362204,0.0,6.5,0.02594457,6.06371907867756,1.0,2
276,0.169486032,0.0,6.5,0.036406086,6.13330804711562,1.0,5
277,0.207507629,0.0,6.5,0.054572558,6.248794558864434,1.0,5
278,0.25405879,0.0,6.5,0.081804015,6.364169097258432,1.0,5
279,0.31105299,0.0,6.5,0.122623845,6.479316611311197,1.0,5
280,0.380832967,0.0,6.5,0.183812585,6.594055387354936,1.0,5
281,0.466267014,0.0,6.5,0.275534226,6.7081124469429625,1.0,5
282,0.570866881,0.0,6.5,0.413024548,6.821099406058657,1.0,5
283,0.698932127,0.0,6.5,0.619121914,6.932494854140656,1.0,5
284,0.855726851,0.0,6.5,0.928060926,7.041644242550353,1.0,5
285,1.047696071,0.0,6.5,1.391159096,7.147788289458794,1.0,5
286,1.282730647,0.0,6.5,2.08534114,7.250128305384746,1.0,5
287,1.570491632,0.0,6.5,3.125916859,7.347924130163991,1.0,5
288,1.922807389,0.0,6.5,4.685735115,7.440604954340841,1.0,5
289,2.354159794,0.0,6.5,7.023895569,7.527858842041226,1.0,5
290,2.882279507,0.0,6.5,10.52878742,7.60967332932204,1.0,5
291,3.528874795,0.0,6.5,15.78260433,7.686317822482582,1.0,5
292,4.320523837,0.0,6.5,23.65805192,7.758283107143488,1.0,5
293,5.289767224,0.0,6.5,35.46331193,7.826194592855784,1.0,5
294,6.476445528,0.0,6.5,53.15934285,7.89070539582971,1.0,5
295,7.929336944,0.0,6.5,79.6856125,7.952376211733912,1.0,5
296,9.70816231,0.0,6.5,119.4483697,8.011570826031475,1.0,5
297,11.88603992,0.0,6.5,179.0525615,8.068409635292358,1.0,5
298,14.55249103,0.0,6.5,268.3989731,8.122801288174497,1.0,5
299,17.81711963,0.0,6.5,402.3288366,8.174530008956058,1.0,5
300,21.81411768,0.0,6.5,603.0890912,8.223352098351501,1.0,5
301,26.70778107,0.0,6.5,904.0277973,8.269062812607473,1.0,5
302,32.69926292,0.0,6.5,1355.133545,8.31151448524008,1.0,5
303,40.03484202,0.0,6.5,2031.339004,8.350580046559877,1.0,5
304,49.016046,0.0,6.5,3044.967903,8.386067681816984,1.0,5
305,60.01204561,0.0,6.5,4564.393,8.417616042212353,1.0,5
306,73.47482941,0.0,6.5,6842.004292,8.444635148306725,1.0,5
307,89.95778268,0.0,6.5,10256.13323,8.466385162358549,1.0,5
308,110.1384342,0.0,6.5,15373.89694,8.482266636176131,1.0,5
309,134.846306,0.0,6.5,23045.4014,8.492282753294814,1.0,5
310,165.0970106,0.0,6.5,34544.95159,8.497401408871635,1.0,5
311,202.1339977,0.0,6.5,51782.7249,8.499367944509833,1.0,5
312,247.4796659,0.0,6.5,77622.06846,8.499895522892263,1.0,5
313,302.9979407,0.0,6.5,116355.1266,8.499988768163472,1.0,5
314,370.9708906,0.0,6.5,174415.8042,8.499999234803347,1.0,5
315,454.1925313,0.0,6.5,261448.495,8.49999996887403,1.0,5
316,0.057038782,0.0,7.5,0.004473552,5.010647898619515,1.0,2
317,0.071054976,0.0,7.5,0.006942262,5.0256189399227065,1.0,2
318,0.088515382,0.0,7.5,0.010773318,5.040579480382221,1.0,2
319,0.11026635,0.0,7.5,0.016718526,5.055550538789312,1.0,2
320,0.137362204,0.0,7.5,0.02594457,5.0705079441256515,1.0,2
321,0.169486032,0.0,7.5,0.036406086,5.148015685237464,1.0,5
322,0.207507629,0.0,7.5,0.054572558,5.275593933486231,1.0,5
323,0.25405879,0.0,7.5,0.081804015,5.401758045726517,1.0,5
324,0.31105299,0.0,7.5,0.122623845,5.526134982673241,1.0,5
325,0.380832967,0.0,7.5,0.183812585,5.6482982298090825,1.0,5
326,0.466267014,0.0,7.5,0.275534226,5.767779867291853,1.0,5
327,0.570866881,0.0,7.5,0.413024548,5.884091709575594,1.0,5
328,0.698932127,0.0,7.5,0.619121914,5.996752721887802,1.0,5
329,0.855726851,0.0,7.5,0.928060926,6.105317875776983,1.0,5
330,1.047696071,0.0,7.5,1.391159096,6.209399475572983,1.0,5
331,1.282730647,0.0,7.5,2.08534114,6.308674327825022,1.0,5
332,1.570491632,0.0,7.5,3.125916859,6.402876479703368,1.0,5
333,1.922807389,0.0,7.5,4.685735115,6.491789477101427,1.0,5
334,2.354159794,0.0,7.5,7.023895569,6.575259915858672,1.0,5
335,2.882279507,0.0,7.5,10.52878742,6.6532496769509955,1.0,5
336,3.528874795,0.0,7.5,15.78260433,6.725913451362801,1.0,5
337,4.320523837,0.0,7.5,23.65805192,6.793657188521805,1.0,5
338,5.289767224,0.0,7.5,35.46331193,6.857123563692846,1.0,5
339,6.476445528,0.0,7.5,53.15934285,6.917082916448431,1.0,5
340,7.929336944,0.0,7.5,79.6856125,6.974263618959216,1.0,5
341,9.70816231,0.0,7.5,119.4483697,7.029195981395919,1.0,5
342,11.88603992,0.0,7.5,179.0525615,7.082137593649184,1.0,5
343,14.55249103,0.0,7.5,268.3989731,7.133098636209599,1.0,5
344,17.81711963,0.0,7.5,402.3288366,7.181931179273356,1.0,5
