cellStart	numCellStart	stepCellStart	numPopulate	stepPopulate	del1	del2	A	zConnect
263	3	45	1	1	11.10798292	13.59988886	761.8137066	false
264	3	45	1	1	13.59988886	16.65081574	932.7149503	false
265	3	45	1	1	16.65081574	20.38617137	1141.955272	false
266	3	45	1	1	20.38617137	24.95949686	1398.135457	false
267	3	45	1	1	24.95949686	30.55877791	1711.785745	false
268	3	45	1	1	30.55877791	37.41417196	2095.798673	false
269	3	45	1	1	37.41417196	45.80746873	2565.959025	false
361	2	45	1	1	0.006241261	0.007774932	0.39760024	false
362	2	45	1	1	0.007774932	0.009685474	0.495302921	false
363	2	45	1	1	0.009685474	0.012065494	0.617014173	false
364	2	45	1	1	0.012065494	0.015030359	0.768633645	false
365	2	45	1	1	0.015030359	0.017093469	0.957510713	false
366	2	45	1	1	0.017093469	0.020928128	1.172313584	false
367	2	45	1	1	0.020928128	0.025623033	1.435304192	false
368	2	45	1	1	0.025623033	0.031371168	1.757292716	false
369	2	45	1	1	0.031371168	0.038408809	2.151514438	false
370	2	45	1	1	0.038408809	0.047025237	2.634173767	false
371	2	45	1	1	0.047025237	0.05757463	3.22511033	false
372	2	45	1	1	0.05757463	0.070490617	3.948614464	false
373	2	45	1	1	0.070490617	0.086304107	4.834425676	false
374	2	45	1	1	0.086304107	0.105665113	5.918955074	false
375	2	45	1	1	0.105665113	0.129369463	7.246782041	false
376	2	45	1	1	0.129369463	0.158391522	8.872486662	false
377	2	45	1	1	0.158391522	0.193924235	10.86289323	false
378	2	45	1	1	0.193924235	0.237428169	13.29981704	false
379	2	45	1	1	0.237428169	0.290691544	16.28342741	false
380	2	45	1	1	0.290691544	0.355903743	19.93636509	false
381	2	45	1	1	0.355903743	0.435745299	24.40878343	false
382	2	45	1	1	0.435745299	0.533498087	29.88452036	false
383	2	45	1	1	0.533498087	0.653180217	36.58865504	false
384	2	45	1	1	0.653180217	0.7997112	44.79675972	false
385	2	45	1	1	0.7997112	0.979114166	54.84622704	false
386	2	45	1	1	0.979114166	1.198763441	67.15013853	false
387	2	45	1	1	1.198763441	1.467687669	82.21424421	false
388	2	45	1	1	1.467687669	1.796940932	100.6577514	false
389	2	45	1	1	1.796940932	2.200057123	123.2387771	false
390	2	45	1	1	2.200057123	2.693606261	150.8855103	false
391	2	45	1	1	2.693606261	3.297875594	184.7343649	false
392	2	45	1	1	3.297875594	4.037703502	226.1766918	false
393	2	45	1	1	4.037703502	4.943500475	276.9159705	false
394	2	45	1	1	4.943500475	6.052499135	339.0378296	false
