cellIndex,x,y,z,vol,b,h0,material
210,0.269170018,0,4.375,0.092540688,0,20,2
211,0.30236515,0,4.375,0.116773104,0,20,2
212,0.33965404,0,4.375,0.147350945,0,20,2
213,0.381541546,0,4.375,0.185935804,0,20,2
214,0.428594788,0,4.375,0.234624374,0,20,2
215,0.481450826,0,4.375,0.296062382,0,20,2
216,0.540825284,0,4.375,0.373588354,0,20,2
217,0.607522039,0,4.375,0.471415036,0,20,2
218,0.682444107,0,4.375,0.594858308,0,20,2
219,0.766605866,0,4.375,0.750626051,0,20,2
220,0.861146793,0,4.375,0.947182649,0,20,2
221,0.967346889,0,4.375,1.195208945,0,20,2
222,1.086644009,0,4.375,1.508182634,0,20,2
223,1.22065333,0,4.375,1.903110637,0,20,2
224,1.371189222,0,4.375,2.401453257,0,20,2
225,1.540289807,0,4.375,3.030290321,0,20,2
226,1.730244557,0,4.375,3.8237927,0,20,2
227,1.943625294,0,4.375,4.825079137,0,20,2
228,2.183321004,0,4.375,6.088559321,0,20,2
229,2.452576956,0,4.375,7.682890487,0,20,2
230,2.755038637,0,4.375,9.694708243,0,20,2
231,3.094801113,0,4.375,12.23333433,0,20,2
232,3.476464467,0,4.375,15.43671712,0,20,2
233,3.905196086,0,4.375,19.47892775,0,20,2
234,4.386800617,0,4.375,24.57961906,0,20,2
235,4.927798561,0,4.375,31.01596149,0,20,2
236,5.535514553,0,4.375,39.13770449,0,20,2
237,6.218176532,0,4.375,49.3861818,0,20,2
238,6.98502714,0,4.375,62.31829344,0,20,2
239,7.846448857,0,4.375,78.63676751,0,20,2
240,8.814104575,0,4.375,99.22834635,0,20,2
241,9.901095498,0,4.375,125.2119718,0,20,2
242,11.12213853,0,4.375,157.9995885,0,20,2
243,12.4937655,0,4.375,199.3728683,0,20,2
244,14.03454705,0,4.375,251.5800261,0,20,2
245,15.765344,0,4.375,317.4579876,0,20,2
246,17.7095898,0,4.375,400.5865467,0,20,2
247,19.89360784,0,4.375,505.4828913,0,20,2
248,22.34696779,0,4.375,637.8470656,0,20,2
249,25.10288598,0,4.375,804.8717101,0,20,2
250,28.19867512,0,4.375,1015.632907,0,20,2
251,31.67624946,0,4.375,1281.583375,0,20,2
252,35.58269229,0,4.375,1617.174803,0,20,2
253,39.97089341,0,4.375,2040.643156,0,20,2
254,44.90026518,0,4.375,2574.999612,0,20,2
255,50.43754697,0,4.375,3249.280985,0,20,2
256,56.65770867,0,4.375,4100.127575,0,20,2
257,63.6449658,0,4.375,5173.774203,0,20,2
258,71.49391967,0,4.375,6528.562589,0,20,2
259,80.31083817,0,4.375,8238.111639,0,20,2
260,90.21509463,0,4.375,10395.31788,0,20,2
261,101.3407839,0,4.375,13117.40341,0,20,2
262,113.8385381,0,4.375,16552.28578,0,20,2
263,127.8775657,0,4.375,20886.61575,0,20,2
264,143.6479429,0,4.375,26355.91985,0,20,2
265,161.3631865,0,4.375,33257.39887,0,20,2
266,181.2631455,0,4.375,41966.07767,0,20,2
267,203.6172476,0,4.375,52955.18397,0,20,2
268,228.7281477,0,4.375,66821.86338,0,20,2
269,256.9358254,0,4.375,84319.62825,0,20,2
270,288.6221876,0,4.375,106399.3033,0,20,2
